,R,name,last_match
6222,1209.0920583218985,Guyana,2026-03-30 20:30:00
5857,1197.6378511941525,Cuba,2026-03-29 22:00:00
5892,1192.8606626475741,Yemen,2026-09-18 16:30:00
6548,1178.71520702986,Grenada,2026-05-16 16:00:00
5801,1178.0257884192254,Congo,2026-09-24 13:00:00
5925,1177.3403291491893,Fiji,2026-09-21 07:00:00
6329,1174.436895023793,India,2026-09-25 14:00:00
6011,1171.0613459084918,Eritrea,2026-09-26 13:00:00
5923,1162.0246644262345,Saint Vincent and The Grenadines,2026-03-29 20:00:00
408231,1158.972187684816,South Sudan,2026-09-25 16:00:00
6319,1154.6246791488002,Solomon Islands,2026-09-24 04:00:00
10045,1153.8890427473552,Andorra,2026-09-24 16:00:00
5926,1148.3486375920081,Vanuatu,2026-09-24 04:00:00
5825,1121.4521564827337,Singapore,2026-06-05 11:30:00
287876,1114.1603625437556,Papua New Guinea,2026-09-24 07:00:00
6101,1110.0960967954923,Antigua and Barbuda,2025-06-11 02:00:00
5924,1107.2576550476126,St. Kitts and Nevis,2026-03-30 09:50:00
95796,1101.5892812492425,Afghanistan,2026-06-10 16:00:00
230139,1099.0795140619562,Philippines,2026-06-09 11:30:00
6322,1086.1904913254255,Hong Kong,2026-06-09 12:00:00
4433,1083.8688089999805,Eswatini,2026-03-31 14:00:00
507764,1079.1102205880652,Gibraltar,2026-09-23 16:00:00
4432,1079.0062296896238,Chad,2026-03-31 13:00:00
5756,1066.5555563973426,Puerto Rico,2026-06-05 23:00:00
127408,1031.3767961745148,Saint Lucia,2026-03-27 15:00:00
287979,1029.2874932822335,Sao Tome and Principe,2026-09-23 16:00:00
287980,1017.4928871577878,Dominica,2026-09-21 15:00:00
5886,1016.8541890270205,Barbados,2026-03-29 20:00:00
127409,1012.958524888495,Belize,2026-03-30 20:30:00
8307,989.3844994363182,Myanmar,2026-07-18 12:00:00
5750,982.7897775321334,Mauritius,2026-03-31 15:00:00
5799,972.1205080933619,Liechtenstein,2026-09-24 18:45:00
95799,959.4228593890523,Nepal,2025-11-13 14:00:00
262131,955.6911001417292,Aruba,2026-06-07 00:00:00
5896,952.3230667027434,Chinese Taipei,2025-09-05 13:30:00
121285,918.8109716515002,Djibouti,2026-03-29 13:00:00
5910,918.2807580237142,Pakistan,2026-06-10 16:00:00
287978,914.1538956267303,Somalia,2026-09-25 16:00:00
287982,912.8159640088189,Cayman Islands,2026-06-06 17:00:00
121274,907.9866877021808,Seychelles,2026-03-29 15:00:00
929189,897.3888767270107,Saint Martin,2026-03-30 00:30:00
929188,897.0246644993684,Bonaire,2026-06-06 17:00:00
95797,895.0999232724188,Bangladesh,2026-06-05 17:00:00
6035,892.980377009141,San Marino,2026-09-26 16:00:00
5899,890.8829697844277,Maldives,2026-09-24 11:35:00
262133,874.8551754490906,Montserrat,2025-06-11 00:00:00
73596,843.3635073054309,Bahamas,2026-03-30 00:00:00
6332,833.8153610029353,Cambodia,2026-06-09 12:00:00
929190,795.5086632240659,Sint Maarten,2026-03-30 23:30:00
95798,758.2369243297572,Guam,2026-06-06 11:30:00
5895,733.1114031049484,Sri Lanka,2026-06-08 11:30:00
262136,724.3683279332192,U.S. Virgin Islands,2026-03-29 00:00:00
95971,724.1595979549279,Mongolia,2026-06-05 12:00:00
4175,698.6694446576771,Macao,2026-03-29 13:00:00
5891,687.264645715367,Laos,2025-03-20 12:45:00
262135,653.9418824275386,British Virgin Islands,2026-06-06 17:00:00
178671,644.964433287071,Brunei Darussalam,2025-06-05 09:00:00
95801,625.4230315861186,Timor Leste,2025-03-20 18:00:00
95800,604.3185184237299,Bhutan,2026-06-08 11:30:00
262132,595.5152759423215,Anguilla,2026-09-21 15:00:00
