league,season,mid,date,team,opp,is_home,gf,np_raw,np_comp,pen,ns,red_xg,comp_np_scaled,sf,xg_model,ns_eff,xgps,sf_wf,md_wf
LaLiga,2223,3918054,2022-10-30,8560,8603,1,0,0.902771532535553,0.7757452145218849,0,14,0.0,1.1376313633883337,1.4809766660306878,1.1376313633883337,14.0,0.0812593830991667,1.4665012971939377,11.5
LaLiga,2223,3918057,2022-10-30,7732,8633,0,1,0.6290405690670013,0.6290405690670013,1,7,0.0,0.9224888105243703,1.4809766660306878,1.1724888105243703,8.0,0.14656110131554628,1.4665012971939377,11.5
LaLiga,2223,3918057,2022-10-30,8633,7732,1,1,2.88850998878479,1.0168416276574135,0,19,0.0,1.4911995660003918,1.4809766660306878,1.4911995660003918,19.0,0.07848418768423115,1.4665012971939377,11.5
LaLiga,2223,3918049,2022-10-31,8305,10268,0,1,0.3613847494125366,0.3613847494125366,0,8,0.0,0.530629961249276,1.4809766660306878,0.530629961249276,8.0,0.0663287451561595,1.4683241672811669,11.9
LaLiga,2223,3918049,2022-10-31,10268,8305,1,0,0.5494523346424103,0.5494523346424103,1,11,0.0,0.8067741417245101,1.4809766660306878,1.0567741417245102,12.0,0.08806451181037585,1.4683241672811669,11.9
LaLiga,2223,3918063,2022-11-04,8315,7732,0,1,0.7019149959087372,0.577161492407322,0,11,0.0,0.8464359157808047,1.4809766660306878,0.8464359157808047,11.0,0.07694871961643679,1.466549530618108,12.0
LaLiga,2223,3918063,2022-11-04,7732,8315,1,2,1.0585657060146332,1.0585657060146332,0,19,0.0,1.5524390392841865,1.4809766660306878,1.5524390392841865,19.0,0.08170731785706245,1.466549530618108,12.0
LaLiga,2223,3918060,2022-11-05,8371,9910,0,2,0.4384700059890747,0.4384700059890747,0,8,0.0,0.6419282565148953,1.4809766660306878,0.6419282565148953,8.0,0.08024103206436191,1.4640186278349223,12.1
LaLiga,2223,3918060,2022-11-05,9910,8371,1,1,0.7447839379310608,0.7447839379310608,0,13,0.0,1.0903775588433215,1.4809766660306878,1.0903775588433215,13.0,0.08387519683410166,1.4640186278349223,12.1
LaLiga,2223,3918064,2022-11-05,10268,10281,0,1,0.2456243932247162,0.2456243932247162,0,4,0.0,0.3595986871316344,1.4809766660306878,0.3595986871316344,4.0,0.0898996717829086,1.4640186278349223,12.1
LaLiga,2223,3918064,2022-11-05,10281,10268,1,2,1.927921861410141,1.2773716017603873,0,16,0.0,1.8700958196445392,1.4809766660306878,1.8700958196445392,16.0,0.1168809887277837,1.4640186278349223,12.1
LaLiga,2223,3918066,2022-11-05,8385,8305,0,0,1.4040465652942657,0.8587860867381096,0,15,0.0415,1.2572788283100498,1.4809766660306878,1.2987788283100499,15.415,0.08425422175219266,1.4640186278349223,12.1
LaLiga,2223,3918066,2022-11-05,8305,8385,1,0,0.6479524970054626,0.6479524970054626,0,13,-0.02075,0.9486145255681491,1.4809766660306878,0.927864525568149,13.2075,0.0702528506960552,1.4640186278349223,12.1
LaLiga,2223,3918067,2022-11-05,9865,8634,0,0,0.46220239996910095,0.30270568281412125,0,4,0.0,0.443166758391363,1.4809766660306878,0.443166758391363,4.0,0.11079168959784075,1.4640186278349223,12.1
LaLiga,2223,3918067,2022-11-05,8634,9865,1,2,3.422419226646423,2.060007142007351,1,26,0.0,3.015888829371742,1.4809766660306878,3.265888829371742,27.0,0.12095884553228674,1.4640186278349223,12.1
LaLiga,2223,3918058,2022-11-06,8558,9906,0,1,0.717854231595993,0.4059561938047409,0,6,-0.27805,0.5938139678871784,1.4809766660306878,0.3157639678871784,8.7805,0.03596195750665434,1.462753806812945,12.5
LaLiga,2223,3918058,2022-11-06,9906,8558,1,1,1.8986900746822357,1.778201401233673,0,27,0.5561,2.6010708689346687,1.4809766660306878,3.157170868934669,32.561,0.0969617293367731,1.462753806812945,12.5
LaLiga,2223,3918059,2022-11-06,8302,8603,0,1,1.525462418794632,1.0976873546838761,0,22,0.5602499999999999,1.6056463567542714,1.4809766660306878,2.1658963567542715,27.6025,0.07846739812532458,1.462753806812945,12.5
LaLiga,2223,3918059,2022-11-06,8603,8302,1,1,0.9541877210140228,0.5806339204311372,0,9,0.07470000000000004,0.8493244774753705,1.4809766660306878,0.9240244774753705,9.747,0.09480091079053765,1.462753806812945,12.5
LaLiga,2223,3918061,2022-11-06,10267,8560,0,1,0.894764244556427,0.7629517063498497,0,14,0.6474,1.1160105128776747,1.4809766660306878,1.7634105128776747,20.474,0.08612926213137026,1.462753806812945,12.5
LaLiga,2223,3918061,2022-11-06,8560,10267,1,1,1.062030017375946,0.6557647347450256,0,9,-0.3237,0.9592223621219673,1.4809766660306878,0.6355223621219673,12.237,0.05193449065309858,1.462753806812945,12.5
LaLiga,2223,3918065,2022-11-06,8661,10205,0,2,0.4293639659881592,0.4293639659881592,0,7,0.0,0.6280537757574837,1.4809766660306878,0.6280537757574837,7.0,0.08972196796535481,1.462753806812945,12.5
LaLiga,2223,3918065,2022-11-06,10205,8661,1,0,0.4991690516471863,0.4991690516471863,0,9,0.0,0.7301614305401293,1.4809766660306878,0.7301614305401293,9.0,0.08112904783779214,1.462753806812945,12.5
LaLiga,2223,3918062,2022-11-07,8633,8370,0,2,1.6048795580863953,0.9838231936097145,1,15,0.0,1.4349789726171238,1.4809766660306878,1.6849789726171238,16.0,0.10531118578857024,1.4585740425086828,12.9
LaLiga,2223,3918062,2022-11-07,8370,8633,1,3,0.7593686282634735,0.7593686282634735,1,14,0.0,1.1075953698805279,1.4809766660306878,1.3575953698805279,15.0,0.09050635799203519,1.4585740425086828,12.9
LaLiga,2223,3918068,2022-11-08,10281,8315,0,0,0.46248117089271545,0.46248117089271545,0,8,0.0,0.6742605200557391,1.4809766660306878,0.6742605200557391,8.0,0.08428256500696739,1.457919938133333,13.0
LaLiga,2223,3918068,2022-11-08,8315,10281,1,3,2.1223946809768677,2.0117264479398727,0,19,0.0,2.932936098521689,1.4809766660306878,2.932936098521689,19.0,0.154365057816931,1.457919938133333,13.0
LaLiga,2223,3918069,2022-11-08,7732,10268,0,2,2.4165767431259155,1.695133954286575,0,21,0.0,2.4713695897611956,1.4809766660306878,2.4713695897611956,21.0,0.11768426617910455,1.457919938133333,13.0
LaLiga,2223,3918069,2022-11-08,10268,7732,1,1,0.6025981605052948,0.6025981605052948,0,11,0.0,0.8785398728831396,1.4809766660306878,0.8785398728831396,11.0,0.07986726117119451,1.457919938133333,13.0
LaLiga,2223,3918073,2022-11-08,8634,8371,0,2,0.7802948653697968,0.6531759858131408,0,9,-0.2075,0.952278292826873,1.4809766660306878,0.744778292826873,11.075,0.06724860431845354,1.457919938133333,13.0
LaLiga,2223,3918073,2022-11-08,8371,8634,1,1,1.0572664141654968,1.0572664141654968,0,15,0.415,1.5414097851306119,1.4809766660306878,1.956409785130612,19.15,0.10216239086843927,1.457919938133333,13.0
LaLiga,2223,3918070,2022-11-09,10205,8558,0,1,0.7207959890365601,0.7207959890365601,0,10,0.0,1.0456720438463427,1.4809766660306878,1.0456720438463427,10.0,0.10456720438463427,1.4507184553621377,13.3
LaLiga,2223,3918070,2022-11-09,8558,10205,1,0,1.1266133487224579,0.9816825598478317,0,14,0.0,1.4241450068783956,1.4809766660306878,1.4241450068783956,14.0,0.10172464334845684,1.4507184553621377,13.3
LaLiga,2223,3918071,2022-11-09,8305,9865,0,0,0.39763665199279785,0.39763665199279785,0,11,0.0,0.5768588295743636,1.4809766660306878,0.5768588295743636,11.0,0.0524417117794876,1.4507184553621377,13.3
LaLiga,2223,3918071,2022-11-09,9865,8305,1,1,0.5470937192440033,0.4329020008444786,0,8,0.0,0.6280189219882808,1.4809766660306878,0.6280189219882808,8.0,0.0785023652485351,1.4507184553621377,13.3
LaLiga,2223,3918072,2022-11-09,9906,8661,0,0,1.3271383345127106,0.9644609168171883,0,17,0.0,1.3991612515021825,1.4809766660306878,1.3991612515021825,17.0,0.08230360302954015,1.4507184553621377,13.3
LaLiga,2223,3918072,2022-11-09,8661,9906,1,1,1.3255598843097687,0.5620922893285751,0,9,0.0,0.8154376577457183,1.4809766660306878,0.8154376577457183,9.0,0.0906041841939687,1.4507184553621377,13.3
LaLiga,2223,3918077,2022-11-09,8560,8302,0,2,1.6713119447231293,1.3023161157965661,0,17,1.0624,1.8892940239016134,1.4809766660306878,2.9516940239016134,27.624,0.10685252041346704,1.4507184553621377,13.3
LaLiga,2223,3918077,2022-11-09,8302,8560,1,1,0.6182736158370972,0.45305573642253877,0,6,-0.5312,0.6572563181358613,1.4809766660306878,0.12605631813586127,11.312,0.011143592480185757,1.4507184553621377,13.3
LaLiga,2223,3918074,2022-11-10,8603,10267,0,0,0.24774160981178284,0.24774160981178284,0,5,0.0,0.3587651327878808,1.4809766660306878,0.3587651327878808,5.0,0.07175302655757616,1.4481424136237997,13.7
LaLiga,2223,3918074,2022-11-10,10267,8603,1,3,1.2377987205982208,0.8124075949192047,1,14,0.0,1.1764818953526033,1.4809766660306878,1.4264818953526033,15.0,0.09509879302350689,1.4481424136237997,13.7
LaLiga,2223,3918075,2022-11-10,9910,8370,0,0,0.9401262104511261,0.7558775663375854,0,11,0.0,1.0946183633201947,1.4809766660306878,1.0946183633201947,11.0,0.09951076030183588,1.4481424136237997,13.7
LaLiga,2223,3918075,2022-11-10,8370,9910,1,0,0.3686758279800415,0.3686758279800415,0,10,0.0,0.5338951033757701,1.4809766660306878,0.5338951033757701,10.0,0.05338951033757701,1.4481424136237997,13.7
LaLiga,2223,3918076,2022-11-10,8385,8633,0,1,1.0023601353168488,0.6860304474830627,0,10,0.0,0.9934697880375378,1.4809766660306878,0.9934697880375378,10.0,0.09934697880375379,1.4481424136237997,13.7
LaLiga,2223,3918076,2022-11-10,8633,8385,1,2,2.0010965764522552,0.8945829853415489,0,18,0.0,1.295483563579295,1.4809766660306878,1.295483563579295,18.0,0.0719713090877386,1.4481424136237997,13.7
LaLiga,2223,3918078,2022-12-29,10268,9906,0,0,0.42740268260240555,0.2991840958595276,0,5,-0.2075,0.4335989916051615,1.4809766660306878,0.22609899160516153,7.074999999999999,0.03195745464383909,1.4492715274836807,14.0
LaLiga,2223,3918078,2022-12-29,9906,10268,1,2,1.7774843284860253,1.0823806861415506,0,18,0.415,1.5686635103231994,1.4809766660306878,1.9836635103231994,22.15,0.08955591468727764,1.4492715274836807,14.0
LaLiga,2223,3918082,2022-12-29,8370,7732,0,2,1.0302188685163856,1.0302188685163856,0,12,0.0,1.4930668732172514,1.4809766660306878,1.4930668732172514,12.0,0.12442223943477095,1.4492715274836807,14.0
LaLiga,2223,3918082,2022-12-29,7732,8370,1,2,0.8606200274080038,0.8606200274080038,2,14,0.0,1.2472721017046449,1.4809766660306878,1.7472721017046449,16.0,0.1092045063565403,1.4492715274836807,14.0
LaLiga,2223,3918083,2022-12-29,8315,8603,0,0,0.4381240075454116,0.4381240075454116,0,10,0.0415,0.6349606496426103,1.4809766660306878,0.6764606496426103,10.415,0.06495061446400484,1.4492715274836807,14.0
LaLiga,2223,3918083,2022-12-29,8603,8315,1,0,0.46275627240538597,0.46275627240538597,0,9,-0.02075,0.6706594897616079,1.4809766660306878,0.6499094897616079,9.2075,0.07058479389211056,1.4492715274836807,14.0
LaLiga,2223,3918080,2022-12-30,8302,9910,0,1,0.6647411426529288,0.3379301792010665,0,7,0.0,0.4884902373832669,1.4809766660306878,0.4884902373832669,7.0,0.069784319626181,1.4455359936722847,14.3
LaLiga,2223,3918080,2022-12-30,9910,8302,1,1,2.031721668317914,1.499364222958684,0,17,0.0,2.1673849519112545,1.4809766660306878,2.1673849519112545,17.0,0.12749323246536792,1.4455359936722847,14.3
