pid,season,name,min,value,box,pm,pir40
P004007,E2017,"DOBRIC, OGNJEN",395.4,-1.098508325947545,-1.0552053544783397,-0.043302971469205254,16.24723186547861
P004094,E2017,"DEMIR, BERK",34.06,1.3248535382608377,1.2737570296933705,0.05109650856746728,15.581669895256628
P004117,E2017,"BROOKS, JEFF",596.04,0.0945798969245667,0.11035462584377254,-0.015774728919205838,17.19567649295745
P004119,E2017,"TYUS, ALEX",599.39,3.590134159398773,4.132349982438236,-0.5422158230394634,21.231185270247078
P004159,E2017,"HICKMAN, RICKY",667.87,-5.296566069674281,-5.083605464923779,-0.21296060475050183,16.368498139213802
P004161,E2017,"SEGEV, ITAY",71.99,-0.18903406152773988,0.22515629453009117,-0.41419035605783106,12.61049285515497
P004165,E2017,"JANNING, MATT",759.14,-1.767225666311016,-2.8675331755556464,1.1003075092446304,13.139742843026866
P004170,E2017,"BATUK, BIRKAN",242.14,-4.08733626022628,-3.2570388973542292,-0.8302973628720505,5.637688274268146
P004178,E2017,"KOPONEN, PETTERI",585.34,-1.2840794067704888,-1.3182429494213237,0.03416354265083482,14.83771364017583
P004185,E2017,"MALMANIS, RINALDS",131.15,3.822281095217691,1.526909130024595,2.295371965193096,11.45956593622368
P004195,E2017,"DENMON, MARCUS",367.48,-2.9243746297424686,-3.6497850029227448,0.7254103731802761,12.768201134076545
P004213,E2017,"DIAZ, ALBERTO",573.71,-3.8168211633721985,-3.324987890273241,-0.49183327309895725,9.097206017660572
P004222,E2017,"OMIC, ALEN",191.02,3.4895004100315834,4.595546329823529,-1.1060459197919459,22.15957207806372
P004251,E2017,"THOMAS, MALCOLM",709.91,3.946357412864888,3.3896348725511602,0.5567225403137278,18.827868116405654
P004259,E2017,"WILLIAMS, LATAVIOUS",32.76,-1.0727875555148647,-0.7961216718213413,-0.2766658836935234,15.7342472594012
P004264,E2017,"BOST, DEE",47.11,-0.7038022185013888,-1.5217277071048587,0.8179254886034699,15.558960411651848
P004292,E2017,"TOLIOPOULOS, VASSILIS",52.910000000000004,-1.9177163417131449,-1.5319967819512406,-0.3857195597619044,14.445612884429426
P004418,E2017,"MCLEAN, JAMEL",573.14,6.812019835359319,5.117851742264553,1.6941680930947656,24.138928998660166
P004425,E2017,"BROWN, DERRICK",388.24,-5.36147119770002,-4.672277945904359,-0.6891932517956609,12.307223222509634
P004429,E2017,"AGRAVANIS, DIMITRIOS",90.75,-0.23776236170127096,-0.5993109175244478,0.3615485558231768,13.04785670331902
P004479,E2017,"SOLUADE, MO",113.08999999999999,-8.311197405874058,-6.937381360039437,-1.373816045834622,10.929084734891848
P004499,E2017,"FONTECCHIO, SIMONE",1.97,-0.5336733477529887,-0.5731321853388085,0.03945883758581982,16.954777543964926
P004535,E2017,"GARCIA, MARC",1.23,1.9397142450833553,1.883570525307104,0.05614371977625138,19.844696889836047
P004623,E2017,"GANKEVICH, ALEXANDER",1.37,-0.15271857110308382,-0.13549749272769346,-0.017221078375390365,16.26594323920394
P004664,E2017,"VALINSKAS, PAULIUS",215.21,-2.507633987564879,-2.493085392759263,-0.014548594805615933,14.367814048279254
P004720,E2017,"LAZAREVIC, STEFAN",13.510000000000002,-0.24664650272453642,-0.48369654168136567,0.23705003895682925,15.935852930650192
P004866,E2017,"KALINIC, NIKOLA",331.03,-3.5490524436205675,-5.553953892600767,2.0049014489802,13.569539628698939
P004887,E2017,"POIRIER, VINCENT",609.37,7.968764150355021,7.261255345307871,0.7075088050471497,23.35717420550362
P004888,E2017,"CLYBURN, WILL",953.98,1.6819840931574022,2.287588762083586,-0.6056046689261838,20.236511761283992
