comp,utc,home,away,hid,aid,νεκρη,R_home,R_away,val_adj,xg_h_D,xg_a_D,xg_h_A_D,xg_a_A_D,xg_h_AV_D,xg_a_AV_D,val_src,V_h,V_a,Vh_raw,Va_raw,diff,xg_h,xg_a,P1,PX,P2,fair_1,fair_X,fair_2,fair_line,fair_m05,fair_p05,diff_A,xg_h_A,xg_a_A,P1_A,PX_A,P2_A,R_home_A,R_away_A,diff_AV,xg_h_AV,xg_a_AV,P1_AV,PX_AV,P2_AV
NL B,2026-09-29T18:45,Slovenia,North Macedonia,5787,8260,,1655,1546,51,1.998,1.058,1.895,1.002,2.014,1.049,κληση/κληση,55.4,22.5,55362675,22488522.0,220,2.07,0.99,60,26,14,1.66,3.84,7.32,-1.00 @2.05,1.65,1.2,177,1.88,1.02,54,29,17,1640,1522,228,2.09,0.98,61,26,14
NL C,2026-09-29T18:45,Bulgaria,Estonia,10150,8261,,1463,1413,57,1.718,1.002,1.597,0.941,1.758,0.966,κληση/κληση,22.8,8.3,22812106,8321749.0,167,1.77,0.95,53,29,17,1.87,3.42,5.79,-0.75 @1.82,1.82,1.24,130,1.59,0.95,48,31,21,1413,1343,187,1.82,0.91,55,28,16
NL C,2026-09-29T18:45,Luxembourg,Iceland,5792,8536,,1478,1624,-61,1.068,1.702,0.8,1.288,0.81,1.48,κληση/κληση,19.7,58.9,19719174,58921368.0,-148,1.02,1.75,18,30,53,5.61,3.37,1.9,+0.25 @2.12,4.68,2.12,-97,0.81,1.28,22,32,46,1450,1607,-158,0.76,1.53,17,29,54
NL C,2026-09-29T18:45,San Marino,Albania,6035,10024,,893,1588,-191,0.337,3.869,0.15,3.52,0.329,3.972,κληση/κληση,1.8,55.0,1831868,54976148.0,-826,0.15,4.13,1,2,98,165.79,53.72,1.03,+1.50 @9.37,334.13,33.38,-669,0.21,3.46,1,4,94,857,1587,-860,0.15,4.24,1,2,98
NL C,2026-09-29T18:45,Slovakia,Kazakhstan,8497,8265,,1655,1407,87,2.381,0.693,2.318,0.577,2.508,0.674,κληση/κληση,33.5,7.1,33467925,7081607.0,395,2.5,0.57,79,15,6,1.26,6.74,16.89,-1.50 @1.77,1.28,1.07,346,2.29,0.61,74,18,8,1657,1371,433,2.64,0.54,82,13,5
NL D,2026-10-01T16:00,Azerbaijan,Liechtenstein,8566,5799,,1392,972,0,2.527,0.477,2.697,0.279,2.505,0.471,κληση/—,6.9,,6888232,,479,2.68,0.33,86,10,4,1.17,9.55,25.87,-1.50 @1.52,1.17,1.03,480,2.65,0.32,85,11,4,1362,941,480,2.65,0.32,85,11,4
NL A,2026-10-01T18:45,Denmark,Portugal,8238,8361,,1851,1943,-39,1.279,1.585,1.009,1.534,1.032,1.641,κληση/κληση,261.3,528.4,261333961,528411881.0,-72,1.26,1.61,25,33,42,4.07,3.03,2.36,+0.25 @1.79,3.45,1.79,-104,1.02,1.53,21,32,47,1877,2041,-144,0.99,1.69,18,30,52
NL A,2026-10-01T18:45,Germany,Serbia,8570,8205,,1923,1671,46,2.375,0.844,2.808,0.674,2.813,0.822,κληση/κληση,339.6,148.7,339608575,148696134.0,358,2.49,0.73,76,17,7,1.32,5.87,14.11,-1.50 @1.91,1.35,1.1,424,2.77,0.71,81,14,5,2026,1662,470,2.96,0.68,85,11,4
NL A,2026-10-01T18:45,Greece,Netherlands,6383,6708,,1731,1901,-50,0.95,1.634,0.953,1.572,0.979,1.712,κληση/κληση,200.3,489.6,200306417,489578688.0,-160,0.9,1.68,17,29,54,5.9,3.45,1.85,+0.25 @2.18,5.15,2.18,-123,0.96,1.56,20,31,50,1788,1971,-173,0.92,1.77,16,28,56
NL A,2026-10-01T18:45,Wales,Norway,5790,8492,,1658,1889,-66,0.891,1.904,0.791,2.059,0.86,2.207,κληση/κληση,125.6,407.0,125615599,406955701.0,-237,0.82,1.98,12,24,64,8.35,4.13,1.57,+1.00 @2.04,7.0,2.69,-252,0.81,2.04,11,23,66,1622,1934,-318,0.76,2.31,8,19,73
NL B,2026-10-01T18:45,Ireland,Austria,5791,8255,,1666,1800,-6,1.192,1.533,1.181,1.48,1.202,1.477,κληση/κληση,130.4,144.2,130446337,144210671.0,-80,1.17,1.56,24,33,43,4.2,3.06,2.3,+0.25 @1.81,3.62,1.81,-59,1.19,1.47,25,33,41,1675,1794,-65,1.18,1.5,25,33,42
NL B,2026-10-01T18:45,Israel,Kosovo,8567,430156,,1625,1676,-37,1.176,1.299,1.179,1.226,1.165,1.362,κληση/κληση,50.9,98.7,50905833,98672307.0,-29,1.17,1.31,29,34,37,3.45,2.94,2.7,+0.00 @2.2,3.13,1.63,-9,1.18,1.23,31,34,35,1610,1679,-46,1.15,1.38,27,34,40
NL D,2026-10-01T18:45,Malta,Gibraltar,8495,507764,,1358,1079,68,2.269,0.531,2.236,0.394,2.346,0.509,κληση/κληση,8.1,2.4,8123482,2415078.0,406,2.4,0.4,80,14,6,1.25,7.06,17.92,-1.50 @1.73,1.24,1.05,366,2.2,0.43,76,17,7,1336,1030,434,2.48,0.37,82,13,5
NL C,2026-10-02T14:00,Kazakhstan,Moldova,8265,5794,,1407,1303,17,1.73,0.954,1.688,0.888,1.687,0.944,κληση/κληση,7.1,5.3,7081607,5267287.0,181,1.79,0.9,55,28,16,1.81,3.52,6.16,-0.75 @1.76,1.76,1.22,159,1.67,0.9,52,30,18,1371,1272,175,1.74,0.89,54,29,17
NL C,2026-10-02T16:00,Cyprus,Armenia,5793,6583,,1372,1451,-38,1.042,1.29,1.232,1.018,1.07,1.053,κληση/κληση,13.5,26.7,13463861,26701611.0,-58,1.02,1.31,26,33,41,3.86,3.0,2.46,+0.25 @1.71,3.55,1.71,42,1.23,1.02,37,34,29,1371,1389,4,1.07,1.05,32,34,34
NL C,2026-10-02T16:00,Latvia,Montenegro,5795,49437,,1331,1509,-107,0.72,1.681,0.696,1.395,0.702,1.741,κληση/κληση,6.3,42.4,6336354,42362937.0,-225,0.65,1.75,13,25,62,7.89,4.0,1.6,+1.00 @1.95,7.71,2.64,-139,0.71,1.38,18,30,52,1293,1492,-245,0.63,1.82,11,24,65
