league,season,mid,date,team,opp,is_home,gf,np_raw,np_comp,pen,ns,red_xg,comp_np_scaled,sf,xg_model,ns_eff,xgps
SerieA,2425,4535428,2024-10-31,8686,9804,1,1,0.6328724883496761,0.47662247344851494,0,9,0.0,0.709253129755052,1.4880815934325975,0.709253129755052,9.0,0.07880590330611688
SerieA,2425,4535370,2024-11-02,9888,9857,0,0,0.7429569084197283,0.28364773876965044,0,6,0.0,0.4220909790818946,1.4880815934325975,0.4220909790818946,6.0,0.07034849651364909
SerieA,2425,4535370,2024-11-02,9857,9888,1,1,1.4530747849494219,0.9523732859641314,0,20,0.0,1.4172091569201435,1.4880815934325975,1.4172091569201435,20.0,0.07086045784600717
SerieA,2425,4535375,2024-11-02,8564,6504,0,1,2.559542592149228,1.2661906841211021,0,18,0.0,1.8841950508164405,1.4880815934325975,1.8841950508164405,18.0,0.10467750282313558
SerieA,2425,4535375,2024-11-02,6504,8564,1,0,1.2121265698224306,0.860522473230958,0,12,0.0,1.2805276531500838,1.4880815934325975,1.2805276531500838,12.0,0.10671063776250699
SerieA,2425,4535379,2024-11-02,9885,8600,0,2,1.2883000932633877,0.9533848606050015,0,11,0.0,1.4187144625236054,1.4880815934325975,1.4187144625236054,11.0,0.1289740420476005
SerieA,2425,4535379,2024-11-02,8600,9885,1,0,0.6023498522117734,0.6023498522117734,0,11,0.0,0.8963457278831853,1.4880815934325975,0.8963457278831853,11.0,0.08148597526210775
SerieA,2425,4535372,2024-11-03,8686,9876,0,2,1.7970890682190657,1.1064866241067648,0,14,0.0415,1.64654237871265,1.4880815934325975,1.6880423787126502,14.415,0.11710318270639267
SerieA,2425,4535372,2024-11-03,9876,8686,1,3,1.1237648325040936,0.5880073444917798,0,7,-0.02075,0.875002906141398,1.4880815934325975,0.8542529061413979,7.2075,0.11852277573935456
SerieA,2425,4535373,2024-11-03,7881,8636,0,0,1.066520307213068,0.5929312504827976,0,7,0.0,0.882330080014424,1.4880815934325975,0.882330080014424,7.0,0.12604715428777485
SerieA,2425,4535373,2024-11-03,8636,7881,1,1,2.377389907836914,1.3934285946190355,0,19,0.0,2.0735354434152393,1.4880815934325975,2.0735354434152393,19.0,0.10913344439027575
SerieA,2425,4535376,2024-11-03,8524,9875,0,3,1.1855904757976532,0.9744275838136673,0,12,0.0,1.450027751606118,1.4880815934325975,1.450027751606118,12.0,0.1208356459671765
SerieA,2425,4535376,2024-11-03,9875,8524,1,0,0.7677776589989662,0.7677776589989662,0,13,0.0,1.1425158022051312,1.4880815934325975,1.1425158022051312,13.0,0.08788583093885624
SerieA,2425,4535378,2024-11-03,8535,9804,0,1,0.5953196408227086,0.3794459940865636,0,8,0.0,0.5646465995019495,1.4880815934325975,0.5646465995019495,8.0,0.07058082493774369
SerieA,2425,4535378,2024-11-03,9804,8535,1,0,0.5820450773462653,0.5820450773462653,0,9,0.0,0.86613056614703,1.4880815934325975,0.86613056614703,9.0,0.09623672957189222
SerieA,2425,4535371,2024-11-04,10171,8534,0,0,0.3972395248711109,0.3972395248711109,0,12,0.0,0.5911248251446106,1.4880815934325975,0.5911248251446106,12.0,0.049260402095384216
SerieA,2425,4535371,2024-11-04,8534,10171,1,1,0.6122485613450408,0.43158883657306435,0,9,0.0,0.6422394036353665,1.4880815934325975,0.6422394036353665,9.0,0.07135993373726295
SerieA,2425,4535374,2024-11-04,8529,8543,0,1,0.26112648006528616,0.26112648006528616,0,6,0.0,0.38857750854299644,1.4880815934325975,0.38857750854299644,6.0,0.0647629180904994
SerieA,2425,4535374,2024-11-04,8543,8529,1,2,2.171500994823873,1.0148053450509906,1,19,0.0,1.510113154887395,1.4880815934325975,1.760113154887395,20.0,0.08800565774436975
SerieA,2425,4535377,2024-11-04,10233,10167,0,1,1.4493425618857145,0.8019794430583715,0,15,0.0,1.1934108475264886,1.4880815934325975,1.1934108475264886,15.0,0.07956072316843257
SerieA,2425,4535377,2024-11-04,10167,10233,1,0,1.1147758504375815,0.9321140950545669,0,13,0.0,1.3870618278297835,1.4880815934325975,1.3870618278297835,13.0,0.10669706367921411
SerieA,2425,4535383,2024-11-07,10171,10233,0,1,1.3860695827752352,1.2399827498942613,0,18,0.0,1.8451955062915864,1.4880815934325975,1.8451955062915864,18.0,0.10251086146064368
SerieA,2425,4535383,2024-11-07,10233,10171,1,1,0.9176470171660185,0.5666467618197203,0,8,0.0,0.843216616242111,1.4880815934325975,0.843216616242111,8.0,0.10540207703026387
SerieA,2425,4535386,2024-11-08,8534,9888,0,1,0.5887535093352199,0.5887535093352199,0,11,0.0,0.8761132603105877,1.4880815934325975,0.8761132603105877,11.0,0.07964666002823524
SerieA,2425,4535386,2024-11-08,9888,8534,1,1,1.5799483666196465,1.4415261114016176,0,18,0.0,2.145108472829215,1.4880815934325975,2.145108472829215,18.0,0.11917269293495639
SerieA,2425,4535381,2024-11-09,8564,8529,0,3,3.376879498362541,0.9892580255866051,0,13,0.0,1.4720966590309006,1.4880815934325975,1.4720966590309006,13.0,0.11323820454083851
SerieA,2425,4535381,2024-11-09,8529,8564,1,3,1.7035813839174807,1.0500574381090702,0,16,0.0,1.5625711456970963,1.4880815934325975,1.5625711456970963,16.0,0.09766069660606852
SerieA,2425,4535385,2024-11-09,9804,9885,0,0,0.42497521080076694,0.42497521080076694,0,6,0.0,0.6323977888577593,1.4880815934325975,0.6323977888577593,6.0,0.10539963147629322
SerieA,2425,4535385,2024-11-09,9885,9804,1,2,1.776705670170486,0.7240991635248065,0,13,0.0,1.077518637061205,1.4880815934325975,1.077518637061205,13.0,0.08288604900470808
SerieA,2425,4535389,2024-11-09,10167,7881,0,2,1.0189506635069847,0.43874976485967637,0,10,0.0,0.6528954492105646,1.4880815934325975,0.6528954492105646,10.0,0.06528954492105646
SerieA,2425,4535389,2024-11-09,7881,10167,1,1,0.7964333547279239,0.7964333547279239,0,12,0.0,1.1851578155663982,1.4880815934325975,1.1851578155663982,12.0,0.09876315129719986
SerieA,2425,4535380,2024-11-10,8600,8524,0,1,0.8354468550533056,0.5487793143838644,0,11,0.0,0.8166283965911894,1.4880815934325975,0.8166283965911894,11.0,0.07423894514465358
SerieA,2425,4535380,2024-11-10,8524,8600,1,2,0.9127853028476238,0.9127853028476238,0,10,0.0,1.3582990079233481,1.4880815934325975,1.3582990079233481,10.0,0.1358299007923348
SerieA,2425,4535382,2024-11-10,9876,8535,0,1,0.4356852639466524,0.4356852639466524,0,8,0.0,0.6483352218088363,1.4880815934325975,0.6483352218088363,8.0,0.08104190272610454
SerieA,2425,4535382,2024-11-10,8535,9876,1,3,1.937493085861206,1.0982815161347388,0,11,0.0,1.6343325085673512,1.4880815934325975,1.6343325085673512,11.0,0.14857568259703194
SerieA,2425,4535384,2024-11-10,9875,8636,0,1,0.6873525492846966,0.5263119049370288,0,5,0.0,0.7831950581412397,1.4880815934325975,0.7831950581412397,5.0,0.15663901162824795
SerieA,2425,4535384,2024-11-10,8636,9875,1,1,0.7636919999495149,0.7636919999495149,1,12,0.0,1.1364360081766012,1.4880815934325975,1.3864360081766012,13.0,0.10664892370589239
SerieA,2425,4535387,2024-11-10,8543,6504,0,1,1.6142094526439905,0.9155540559440851,0,14,0.0,1.3624191384429516,1.4880815934325975,1.3624191384429516,14.0,0.09731565274592512
SerieA,2425,4535387,2024-11-10,6504,8543,1,0,0.9580218028277159,0.842072046175599,0,12,0.0,1.2530719122580332,1.4880815934325975,1.2530719122580332,12.0,0.10442265935483609
SerieA,2425,4535388,2024-11-10,9857,8686,0,3,1.683785891160369,1.0797627832740546,0,15,0.0,1.6067751230636715,1.4880815934325975,1.6067751230636715,15.0,0.1071183415375781
SerieA,2425,4535388,2024-11-10,8686,9857,1,2,1.323876983486116,0.7666771626099944,0,15,0.0,1.140878173785063,1.4880815934325975,1.140878173785063,15.0,0.0760585449190042
SerieA,2425,4535393,2024-11-23,8636,9876,0,5,3.2334591075778008,0.8192194566130638,0,12,0.0,1.2190653943677547,1.4880815934325975,1.2190653943677547,12.0,0.10158878286397956
SerieA,2425,4535393,2024-11-23,9876,8636,1,0,0.5046252021566033,0.5046252021566033,0,9,0.0,0.750923474911445,1.4880815934325975,0.750923474911445,9.0,0.08343594165682722
SerieA,2425,4535395,2024-11-23,9885,8564,0,0,0.4003145471215248,0.4003145471215248,0,7,0.0,0.5957007091548473,1.4880815934325975,0.5957007091548473,7.0,0.08510010130783532
SerieA,2425,4535395,2024-11-23,8564,9885,1,0,0.3037234637886286,0.3037234637886286,0,6,0.0,0.4519652959574502,1.4880815934325975,0.4519652959574502,6.0,0.07532754932624171
SerieA,2425,4535397,2024-11-23,8524,10167,0,3,2.7508335318416357,1.1587869841605425,0,15,0.0,1.7243695818385743,1.4880815934325975,1.7243695818385743,15.0,0.11495797212257161
SerieA,2425,4535397,2024-11-23,10167,8524,1,1,0.7456570873036981,0.4135029898956418,0,9,0.0,0.61532618809305,1.4880815934325975,0.61532618809305,9.0,0.06836957645478332
SerieA,2425,4535390,2024-11-24,8535,10171,0,2,0.8103866372257471,0.8103866372257471,0,8,0.0415,1.2059214384193742,1.4880815934325975,1.2474214384193743,8.415,0.14823784176106647
SerieA,2425,4535390,2024-11-24,10171,8535,1,0,1.2155241277068853,0.786196767911315,0,10,-0.02075,1.1699249391450277,1.4880815934325975,1.1491749391450277,10.2075,0.11258142925741148
SerieA,2425,4535392,2024-11-24,8529,10233,0,2,1.4347749557346106,0.7755725990980863,2,15,0.0,1.1541153090885414,1.4880815934325975,1.6541153090885414,17.0,0.09730090053462008
SerieA,2425,4535392,2024-11-24,10233,8529,1,2,1.7591618264559656,1.2732858503703028,0,20,0.0,1.8947532371142202,1.4880815934325975,1.8947532371142202,20.0,0.094737661855711
SerieA,2425,4535394,2024-11-24,9857,8543,0,0,0.07245785649865866,0.07245785649865866,0,3,0.0,0.10782320255523446,1.4880815934325975,0.10782320255523446,3.0,0.03594106751841149
SerieA,2425,4535394,2024-11-24,8543,9857,1,3,1.9630413632839918,0.9619021143764257,0,13,0.0,1.4313888310874563,1.4880815934325975,1.4313888310874563,13.0,0.11010683316057356
SerieA,2425,4535396,2024-11-24,8686,9875,0,0,0.5800771210342646,0.43717363812029364,0,6,0.0,0.6505500440207723,1.4880815934325975,0.6505500440207723,6.0,0.10842500733679539
SerieA,2425,4535396,2024-11-24,9875,8686,1,1,1.3881794176995754,0.923143369704485,0,14,0.0,1.3737126565565874,1.4880815934325975,1.3737126565565874,14.0,0.09812233261118482
SerieA,2425,4535398,2024-11-24,6504,9804,0,1,0.8803621456027031,0.7064188778400421,0,9,0.0,1.0512089293670772,1.4880815934325975,1.0512089293670772,9.0,0.11680099215189747
SerieA,2425,4535398,2024-11-24,9804,6504,1,1,1.0492521896958351,0.9259502567350865,0,12,0.0,1.3778895334816703,1.4880815934325975,1.3778895334816703,12.0,0.11482412779013919
SerieA,2425,4535391,2024-11-25,8600,8534,0,1,0.8311864202842116,0.8311864202842116,0,16,0.0,1.2368732127360664,1.4880815934325975,1.2368732127360664,16.0,0.07730457579600415
SerieA,2425,4535391,2024-11-25,8534,8600,1,1,0.1248672679066658,0.1248672679066658,0,4,0.0,0.1858126829941263,1.4880815934325975,0.1858126829941263,4.0,0.04645317074853157
SerieA,2425,4535399,2024-11-25,9888,7881,0,1,0.7015203833580017,0.5504673048853874,0,7,0.0,0.8191402641863947,1.4880815934325975,0.8191402641863947,7.0,0.11702003774091353
SerieA,2425,4535399,2024-11-25,7881,9888,1,0,2.733412528410554,1.4293057862669232,0,16,0.0,2.1269236319305147,1.4880815934325975,2.1269236319305147,16.0,0.13293272699565717
SerieA,2425,4535401,2024-11-29,9876,8529,0,0,0.6989089725539088,0.6989089725539088,0,11,0.0,1.0400335775423601,1.4880815934325975,1.0400335775423601,11.0,0.09454850704930547
SerieA,2425,4535401,2024-11-29,8529,9876,1,1,1.9134547905996442,1.245502585358918,0,19,0.0,1.8534094718453182,1.4880815934325975,1.8534094718453182,19.0,0.09754786693922728
SerieA,2425,4535400,2024-11-30,7881,9857,0,0,0.44487449526786804,0.44487449526786804,0,5,0.0,0.6620095477957316,1.4880815934325975,0.6620095477957316,5.0,0.13240190955914632
SerieA,2425,4535400,2024-11-30,9857,7881,1,3,1.6450207028537989,0.966606928780675,2,14,0.0,1.4383899788029362,1.4880815934325975,1.9383899788029362,16.0,0.12114937367518351
SerieA,2425,4535402,2024-11-30,6504,10171,0,1,0.5472661950625479,0.3989363142289221,1,8,0.0,0.5936497861559018,1.4880815934325975,0.8436497861559018,9.0,0.09373886512843353
SerieA,2425,4535402,2024-11-30,10171,6504,1,1,1.292471619322896,1.114669582620263,0,17,0.0,1.6587192886564095,1.4880815934325975,1.6587192886564095,17.0,0.09757172286214173
SerieA,2425,4535405,2024-11-30,8534,8564,0,0,0.5444817775860429,0.5444817775860429,0,9,0.0,0.8102333111852519,1.4880815934325975,0.8102333111852519,9.0,0.09002592346502798
SerieA,2425,4535405,2024-11-30,8564,8534,1,3,2.292211272753775,1.3058351824060084,0,20,0.0,1.9431892989950796,1.4880815934325975,1.9431892989950796,20.0,0.09715946494975398
SerieA,2425,4535404,2024-12-01,9885,9888,0,1,1.3032663185149431,0.4693629551678896,0,14,0.0,0.698450374224466,1.4880815934325975,0.698450374224466,14.0,0.04988931244460471
SerieA,2425,4535404,2024-12-01,9888,9885,1,1,1.5068747538790106,0.6378544147774577,0,10,0.0,0.9491794139200563,1.4880815934325975,0.9491794139200563,10.0,0.09491794139200563
